fault_type,priority,distance_km,hour_of_day,is_weekend,historical_fault_count,resolution_minutes
BELIRSIZ,ORTA,5.8,4,0,1,120.4
GUC_KESINTISI,ORTA,10.53,23,1,4,125.2
BAGLANTI,ORTA,5.03,2,0,3,140.0
DONANIM,YUKSEK,7.12,19,1,1,214.4
BAGLANTI,YUKSEK,13.78,8,1,3,131.6
DONANIM,ORTA,9.58,13,0,2,199.7
BAGLANTI,YUKSEK,17.88,20,1,1,20
YAZILIM,KRITIK,0.84,20,1,1,44.8
BELIRSIZ,YUKSEK,0.72,3,0,1,140.8
GUC_KESINTISI,KRITIK,11.24,22,0,0,113.0
DONANIM,YUKSEK,10.72,18,1,1,138.9
DONANIM,ORTA,4.99,12,1,1,193.8
BAGLANTI,YUKSEK,10.27,8,0,5,98.1
GUC_KESINTISI,KRITIK,6.87,9,0,0,111.9
BAGLANTI,DUSUK,7.38,23,0,2,119.7
ISINMA,YUKSEK,25.14,10,0,0,65.7
DONANIM,YUKSEK,0.73,11,0,1,120.6
YAZILIM,ORTA,3.12,1,1,0,118.4
BELIRSIZ,YUKSEK,4.76,9,0,4,170.3
BELIRSIZ,DUSUK,8.15,1,0,1,212.3
BAGLANTI,YUKSEK,18.62,18,0,0,51.7
BELIRSIZ,ORTA,25.85,16,0,3,154.2
BAGLANTI,YUKSEK,1.67,2,1,2,77.6
ISINMA,DUSUK,4.94,14,1,1,133.7
DONANIM,YUKSEK,2.56,15,0,4,151.4
ISINMA,YUKSEK,19.91,19,0,1,210.5
BAGLANTI,KRITIK,4.26,0,0,1,40.0
DONANIM,ORTA,11.17,3,0,0,216.5
BAGLANTI,ORTA,8.38,21,1,1,97.8
DONANIM,KRITIK,22.41,12,1,0,205.0
ISINMA,KRITIK,30.54,19,1,3,155.9
ISINMA,YUKSEK,6.37,13,0,2,170.9
YAZILIM,DUSUK,13.44,19,0,5,74.3
ISINMA,ORTA,13.81,13,0,1,146.4
BAGLANTI,DUSUK,0.57,13,0,1,95.5
DONANIM,YUKSEK,12.02,14,0,1,116.5
ISINMA,ORTA,4.65,9,1,3,152.1
GUC_KESINTISI,ORTA,2.18,15,1,0,97.5
YAZILIM,ORTA,12.92,17,1,0,63.5
DONANIM,DUSUK,2.37,6,0,1,77.1
ISINMA,YUKSEK,14.62,11,0,1,111.6
ISINMA,YUKSEK,1.01,3,0,0,90.7
YAZILIM,ORTA,7.83,16,0,1,70.2
DONANIM,YUKSEK,21.49,13,0,2,254.1
ISINMA,ORTA,1.07,15,0,1,111.0
GUC_KESINTISI,YUKSEK,5.29,16,1,1,110.3
ISINMA,ORTA,6.23,1,0,2,64.5
GUC_KESINTISI,YUKSEK,5.03,20,0,7,155.3
ISINMA,YUKSEK,18.38,12,0,2,75.4
ISINMA,YUKSEK,26.39,18,1,0,80.2
ISINMA,ORTA,6.68,16,0,0,161.7
YAZILIM,ORTA,2.64,20,1,2,88.8
ISINMA,DUSUK,45.0,21,0,1,113.2
DONANIM,YUKSEK,6.7,9,0,1,211.1
GUC_KESINTISI,YUKSEK,12.11,9,0,1,223.5
YAZILIM,DUSUK,9.19,23,0,1,90.2
BAGLANTI,YUKSEK,10.17,4,1,1,90.2
BAGLANTI,DUSUK,15.79,22,1,1,55.5
ISINMA,ORTA,2.21,1,1,0,145.4
BELIRSIZ,ORTA,25.45,20,0,0,73.6
ISINMA,ORTA,3.46,12,0,2,95.0
BAGLANTI,DUSUK,2.27,5,0,1,115.1
BELIRSIZ,ORTA,6.68,3,0,0,209.9
BAGLANTI,ORTA,15.0,13,0,2,154.1
BELIRSIZ,DUSUK,0.3,20,0,0,77.7
YAZILIM,KRITIK,2.12,14,0,3,49.1
YAZILIM,ORTA,7.3,15,0,2,69.2
GUC_KESINTISI,KRITIK,9.97,22,1,0,43.1
ISINMA,KRITIK,8.91,15,0,0,76.1
BELIRSIZ,ORTA,0.99,3,1,2,117.3
DONANIM,ORTA,1.76,7,0,1,227.0
GUC_KESINTISI,ORTA,1.17,2,0,1,109.1
BAGLANTI,KRITIK,3.1,10,0,0,49.8
ISINMA,YUKSEK,8.36,14,0,4,76.7
GUC_KESINTISI,YUKSEK,2.07,8,0,1,45.7
DONANIM,YUKSEK,10.65,7,0,0,159.7
YAZILIM,ORTA,10.3,18,0,0,75.4
BELIRSIZ,KRITIK,1.58,9,1,1,133.7
BELIRSIZ,ORTA,7.4,23,0,0,273.3
BAGLANTI,ORTA,0.65,23,0,4,144.8
BELIRSIZ,DUSUK,4.21,23,0,3,234.9
BAGLANTI,DUSUK,1.66,12,1,0,148.3
YAZILIM,ORTA,0.49,0,0,0,58.5
BELIRSIZ,YUKSEK,10.77,2,1,0,67.9
BAGLANTI,YUKSEK,0.82,5,0,1,112.3
BAGLANTI,ORTA,0.45,16,0,1,114.8
ISINMA,YUKSEK,21.2,3,0,2,194.7
ISINMA,ORTA,4.76,22,0,1,127.1
GUC_KESINTISI,YUKSEK,13.96,15,0,4,167.6
GUC_KESINTISI,KRITIK,1.68,8,0,1,75.7
DONANIM,YUKSEK,32.03,7,0,0,128.6
GUC_KESINTISI,DUSUK,0.87,18,1,3,85.4
DONANIM,DUSUK,11.22,5,0,0,218.3
GUC_KESINTISI,YUKSEK,6.27,18,0,0,95.4
GUC_KESINTISI,YUKSEK,0.55,20,1,1,150.4
YAZILIM,ORTA,4.99,18,0,1,150.3
BELIRSIZ,DUSUK,12.48,0,1,0,116.3
ISINMA,YUKSEK,6.58,10,0,1,100.9
YAZILIM,YUKSEK,3.36,7,1,1,47.2
BELIRSIZ,DUSUK,2.96,17,0,2,139.2
YAZILIM,ORTA,26.61,17,0,1,59.7
ISINMA,DUSUK,2.4,20,1,0,91.4
BELIRSIZ,ORTA,21.24,16,0,0,123.2
YAZILIM,ORTA,2.29,1,1,1,88.2
ISINMA,YUKSEK,18.28,15,1,1,71.3
GUC_KESINTISI,ORTA,1.1,9,0,1,73.4
ISINMA,KRITIK,24.17,0,0,0,171.2
ISINMA,KRITIK,4.32,16,0,0,94.5
YAZILIM,ORTA,7.28,12,0,1,31.7
ISINMA,DUSUK,6.14,7,0,0,67.2
BELIRSIZ,DUSUK,0.3,2,0,1,186.4
BAGLANTI,YUKSEK,42.78,18,1,0,46.5
BELIRSIZ,DUSUK,45.0,1,0,2,177.2
BELIRSIZ,ORTA,3.76,15,1,2,129.2
YAZILIM,DUSUK,11.71,14,0,4,62.8
GUC_KESINTISI,YUKSEK,2.07,13,0,1,72.8
ISINMA,YUKSEK,30.24,7,0,1,90.7
DONANIM,ORTA,0.68,15,0,0,191.0
GUC_KESINTISI,YUKSEK,35.85,11,0,2,162.3
ISINMA,YUKSEK,10.71,18,0,4,86.7
GUC_KESINTISI,YUKSEK,13.78,22,0,0,105.8
ISINMA,ORTA,0.61,4,0,3,69.2
ISINMA,ORTA,13.32,2,1,1,143.7
GUC_KESINTISI,ORTA,22.4,22,1,0,289.8
DONANIM,DUSUK,3.2,17,1,2,117.7
BELIRSIZ,ORTA,0.86,15,0,1,115.8
BAGLANTI,YUKSEK,3.09,1,1,5,115.3
ISINMA,YUKSEK,1.2,21,0,1,96.6
BELIRSIZ,ORTA,5.52,23,1,1,264.7
ISINMA,DUSUK,9.09,8,1,0,160.1
BELIRSIZ,DUSUK,19.48,10,1,1,226.8
BELIRSIZ,YUKSEK,7.68,21,1,0,122.8
GUC_KESINTISI,YUKSEK,1.12,22,0,2,117.9
BAGLANTI,YUKSEK,4.35,15,0,1,74.7
BELIRSIZ,KRITIK,16.99,15,0,1,71.0
YAZILIM,ORTA,4.27,10,0,1,75.0
YAZILIM,ORTA,13.79,16,1,1,42.5
DONANIM,ORTA,31.57,1,1,1,316.5
DONANIM,ORTA,7.64,9,0,1,215.2
BAGLANTI,KRITIK,19.47,16,0,1,119.3
BELIRSIZ,YUKSEK,0.3,14,0,0,113.2
YAZILIM,ORTA,3.42,18,1,3,63.6
BAGLANTI,ORTA,1.29,18,1,4,81.4
DONANIM,ORTA,5.92,8,0,1,242.6
ISINMA,KRITIK,8.64,14,0,2,78.9
YAZILIM,YUKSEK,9.35,3,0,1,62.2
BELIRSIZ,YUKSEK,8.46,16,0,1,242.9
DONANIM,YUKSEK,6.76,17,0,1,180.8
DONANIM,YUKSEK,1.22,9,0,0,156.8
DONANIM,ORTA,2.88,5,1,1,183.2
ISINMA,ORTA,8.01,7,1,2,121.1
BELIRSIZ,ORTA,5.85,1,1,2,228.8
GUC_KESINTISI,YUKSEK,27.96,9,0,1,127.6
BAGLANTI,ORTA,14.76,10,0,2,88.1
YAZILIM,ORTA,5.16,19,0,0,57.4
GUC_KESINTISI,YUKSEK,10.97,11,0,0,159.5
GUC_KESINTISI,YUKSEK,5.01,17,0,1,167.4
BAGLANTI,DUSUK,1.56,0,0,0,155.0
YAZILIM,DUSUK,16.9,17,0,1,71.0
ISINMA,YUKSEK,20.95,21,0,2,96.7
YAZILIM,ORTA,1.2,6,0,2,87.2
GUC_KESINTISI,YUKSEK,4.56,0,0,0,175.9
BELIRSIZ,ORTA,12.6,8,0,1,141.9
BELIRSIZ,ORTA,22.26,7,0,1,134.0
YAZILIM,YUKSEK,15.53,20,0,1,75.6
GUC_KESINTISI,ORTA,5.12,4,1,1,126.3
BAGLANTI,YUKSEK,0.3,12,0,3,102.3
BELIRSIZ,ORTA,0.88,19,0,1,115.7
GUC_KESINTISI,ORTA,4.13,3,0,5,227.3
DONANIM,YUKSEK,7.77,18,0,3,201.8
DONANIM,KRITIK,0.72,12,0,2,182.5
BELIRSIZ,DUSUK,2.28,16,0,1,196.9
DONANIM,ORTA,26.9,13,1,5,259.4
DONANIM,YUKSEK,5.48,10,0,2,157.6
GUC_KESINTISI,ORTA,5.69,20,0,0,60.4
ISINMA,ORTA,3.34,13,0,0,91.4
BAGLANTI,ORTA,2.88,15,0,2,62.9
BAGLANTI,YUKSEK,1.5,7,0,2,168.7
BELIRSIZ,ORTA,9.23,3,0,3,183.8
YAZILIM,DUSUK,25.71,23,0,0,104.6
DONANIM,YUKSEK,10.05,16,0,1,173.5
ISINMA,KRITIK,16.53,1,1,3,177.8
BELIRSIZ,ORTA,12.27,9,0,0,174.2
DONANIM,YUKSEK,0.73,1,1,0,279.6
YAZILIM,ORTA,7.46,18,0,2,74.6
BAGLANTI,ORTA,17.96,20,0,0,115.1
ISINMA,ORTA,22.93,16,0,3,138.9
BELIRSIZ,ORTA,2.04,3,0,0,141.3
GUC_KESINTISI,ORTA,4.18,12,0,2,180.9
GUC_KESINTISI,YUKSEK,1.82,14,0,0,158.5
YAZILIM,ORTA,0.5,0,1,1,81.8
YAZILIM,DUSUK,7.29,11,1,0,60.5
BELIRSIZ,ORTA,3.86,5,0,0,182.0
BAGLANTI,DUSUK,2.97,12,1,1,81.8
GUC_KESINTISI,DUSUK,15.06,2,0,2,137.5
GUC_KESINTISI,YUKSEK,7.45,8,0,0,60.4
YAZILIM,ORTA,1.58,5,1,2,81.7
GUC_KESINTISI,DUSUK,4.35,20,0,1,144.1
ISINMA,DUSUK,1.11,23,0,0,186.5
GUC_KESINTISI,KRITIK,20.84,14,0,0,98.5
BAGLANTI,ORTA,0.3,19,0,5,117.2
ISINMA,YUKSEK,1.41,8,0,1,95.8
BELIRSIZ,ORTA,4.06,12,0,3,136.4
BAGLANTI,KRITIK,14.84,23,0,2,130.1
ISINMA,ORTA,22.87,12,0,1,100.7
BAGLANTI,YUKSEK,14.56,4,0,0,124.7
GUC_KESINTISI,YUKSEK,10.46,8,1,3,117.7
GUC_KESINTISI,ORTA,7.26,5,1,0,85.6
BAGLANTI,YUKSEK,5.56,0,0,0,62.1
ISINMA,KRITIK,1.29,19,0,1,94.6
DONANIM,YUKSEK,1.24,5,1,1,123.2
ISINMA,KRITIK,15.84,17,0,1,197.9
DONANIM,DUSUK,0.69,3,0,0,214.5
ISINMA,ORTA,17.96,4,0,1,149.4
DONANIM,KRITIK,3.17,11,0,0,226.2
GUC_KESINTISI,YUKSEK,13.7,20,1,0,154.9
ISINMA,YUKSEK,6.43,18,0,5,116.6
BAGLANTI,YUKSEK,8.89,10,0,2,66.4
BAGLANTI,YUKSEK,29.74,19,1,1,142.6
YAZILIM,ORTA,5.44,21,0,0,60.7
BELIRSIZ,ORTA,37.98,4,0,1,234.1
GUC_KESINTISI,YUKSEK,2.45,19,0,0,73.3
ISINMA,YUKSEK,20.68,11,1,0,181.7
DONANIM,DUSUK,27.94,14,0,1,198.0
BAGLANTI,ORTA,2.1,9,1,0,71.6
YAZILIM,KRITIK,7.77,16,0,1,45.2
BAGLANTI,DUSUK,0.39,10,1,1,85.2
DONANIM,KRITIK,8.49,23,0,1,159.4
BELIRSIZ,ORTA,2.08,8,1,2,122.2
GUC_KESINTISI,ORTA,15.52,21,1,2,81.5
DONANIM,ORTA,1.68,13,1,1,117.1
BELIRSIZ,DUSUK,4.22,7,0,1,206.5
BELIRSIZ,DUSUK,27.59,17,0,2,156.2
GUC_KESINTISI,YUKSEK,2.0,14,0,1,52.9
BAGLANTI,YUKSEK,5.26,13,0,0,74.1
ISINMA,ORTA,29.17,17,1,0,102.7
ISINMA,KRITIK,1.78,20,0,0,134.0
YAZILIM,ORTA,3.66,11,0,1,20
YAZILIM,DUSUK,1.58,1,0,1,101.7
BAGLANTI,YUKSEK,8.94,11,0,0,139.0
BAGLANTI,ORTA,24.99,6,0,1,78.4
ISINMA,KRITIK,2.34,21,0,0,90.9
DONANIM,YUKSEK,0.53,8,0,0,169.6
BELIRSIZ,YUKSEK,6.05,22,0,1,137.6
ISINMA,ORTA,1.46,23,1,0,160.1
DONANIM,ORTA,9.3,0,1,0,303.2
ISINMA,ORTA,0.66,1,0,6,206.0
BAGLANTI,ORTA,10.08,11,0,1,32.0
BAGLANTI,DUSUK,8.88,3,0,0,131.0
ISINMA,YUKSEK,1.41,1,0,1,218.8
BAGLANTI,ORTA,3.5,18,0,1,82.9
BELIRSIZ,ORTA,16.49,0,1,1,130.2
ISINMA,YUKSEK,0.8,16,1,3,97.1
BAGLANTI,YUKSEK,4.05,11,0,1,40.9
GUC_KESINTISI,ORTA,11.32,15,0,1,89.6
BAGLANTI,YUKSEK,6.34,13,0,0,88.6
ISINMA,YUKSEK,6.11,16,0,1,93.4
YAZILIM,DUSUK,3.43,19,0,1,21.1
ISINMA,ORTA,25.04,4,0,1,28.9
BAGLANTI,YUKSEK,33.08,22,1,1,91.9
DONANIM,ORTA,7.3,17,0,1,137.1
BELIRSIZ,YUKSEK,2.54,20,1,0,274.3
DONANIM,YUKSEK,6.31,4,1,0,107.5
DONANIM,KRITIK,3.89,9,0,0,249.5
BELIRSIZ,ORTA,7.02,7,1,0,308.1
YAZILIM,ORTA,6.64,3,0,1,55.5
YAZILIM,YUKSEK,9.98,17,0,1,57.7
BAGLANTI,YUKSEK,14.5,16,1,1,105.8
DONANIM,ORTA,1.46,23,0,0,131.6
BAGLANTI,YUKSEK,15.05,18,0,0,32.6
BAGLANTI,YUKSEK,6.53,21,0,1,78.2
YAZILIM,DUSUK,20.02,19,1,1,71.7
GUC_KESINTISI,KRITIK,4.65,1,1,1,219.1
ISINMA,KRITIK,7.28,5,0,0,204.3
ISINMA,YUKSEK,5.46,20,0,1,70.1
BELIRSIZ,ORTA,12.59,16,0,0,121.4
GUC_KESINTISI,ORTA,3.17,8,0,1,154.5
YAZILIM,DUSUK,24.19,14,0,0,22.7
ISINMA,ORTA,0.54,15,1,1,146.2
BELIRSIZ,YUKSEK,5.34,13,0,1,208.4
BELIRSIZ,ORTA,5.23,18,0,0,111.4
GUC_KESINTISI,KRITIK,7.68,15,0,0,86.3
DONANIM,ORTA,9.88,22,0,1,260.5
BELIRSIZ,DUSUK,17.59,7,0,3,110.7
ISINMA,YUKSEK,1.66,7,0,1,209.7
BELIRSIZ,YUKSEK,1.97,13,0,1,202.6
DONANIM,ORTA,5.73,6,1,1,128.3
BAGLANTI,YUKSEK,7.8,13,0,1,92.2
BELIRSIZ,ORTA,11.34,6,0,1,185.0
BELIRSIZ,ORTA,6.94,20,0,0,129.0
BAGLANTI,ORTA,0.3,9,0,0,49.1
GUC_KESINTISI,YUKSEK,13.31,9,0,0,34.5
YAZILIM,DUSUK,1.55,11,0,3,61.2
BELIRSIZ,DUSUK,7.06,10,0,1,66.1
YAZILIM,ORTA,8.75,0,0,0,77.5
YAZILIM,DUSUK,14.17,15,0,4,51.8
ISINMA,DUSUK,9.38,22,1,0,109.6
BAGLANTI,YUKSEK,1.62,13,0,0,73.8
BAGLANTI,DUSUK,11.78,21,0,1,149.9
BAGLANTI,ORTA,4.79,23,0,2,33.1
YAZILIM,YUKSEK,25.88,6,1,0,26.8
BELIRSIZ,YUKSEK,27.42,18,0,3,130.6
YAZILIM,DUSUK,1.22,15,0,1,90.1
ISINMA,KRITIK,9.11,3,0,4,81.2
BAGLANTI,DUSUK,0.76,8,0,0,20
BELIRSIZ,ORTA,0.3,4,0,0,239.5
BELIRSIZ,ORTA,12.43,6,0,2,120.3
ISINMA,KRITIK,1.02,12,0,0,91.8
GUC_KESINTISI,YUKSEK,1.96,18,1,1,79.1
GUC_KESINTISI,YUKSEK,3.07,5,1,2,108.0
BAGLANTI,ORTA,32.38,17,0,3,43.4
BELIRSIZ,ORTA,1.89,14,1,1,202.1
DONANIM,KRITIK,42.52,14,0,0,134.3
DONANIM,DUSUK,10.66,0,0,1,233.1
BAGLANTI,YUKSEK,4.77,14,1,0,85.6
GUC_KESINTISI,YUKSEK,0.3,19,1,0,155.0
GUC_KESINTISI,YUKSEK,5.71,3,0,3,162.2
BAGLANTI,YUKSEK,3.0,21,0,0,73.3
BAGLANTI,KRITIK,17.06,3,0,2,95.3
ISINMA,ORTA,7.87,11,0,4,178.6
GUC_KESINTISI,YUKSEK,13.68,1,1,1,148.3
ISINMA,ORTA,7.87,19,0,5,119.6
GUC_KESINTISI,YUKSEK,0.8,22,1,2,104.4
BELIRSIZ,YUKSEK,15.31,16,0,0,111.9
GUC_KESINTISI,KRITIK,4.6,17,0,0,123.8
DONANIM,KRITIK,5.35,8,1,2,284.8
BELIRSIZ,ORTA,20.95,19,0,2,121.0
BELIRSIZ,ORTA,28.68,9,1,3,104.5
BELIRSIZ,ORTA,4.29,20,0,1,82.9
BAGLANTI,DUSUK,1.13,10,0,0,67.9
DONANIM,ORTA,8.87,12,1,0,178.6
ISINMA,ORTA,0.3,22,0,1,127.4
YAZILIM,ORTA,0.71,6,1,2,97.3
DONANIM,YUKSEK,6.56,6,0,0,142.1
YAZILIM,ORTA,10.91,12,1,1,35.5
GUC_KESINTISI,YUKSEK,4.39,8,0,0,68.0
GUC_KESINTISI,KRITIK,0.3,2,0,1,139.2
YAZILIM,ORTA,4.94,6,1,0,53.3
BAGLANTI,YUKSEK,9.55,9,0,0,96.4
DONANIM,ORTA,0.3,18,1,0,214.4
DONANIM,ORTA,5.27,13,0,3,145.8
GUC_KESINTISI,YUKSEK,3.56,13,0,2,67.4
ISINMA,YUKSEK,9.23,4,0,1,67.2
DONANIM,KRITIK,15.97,0,0,1,132.2
DONANIM,ORTA,10.49,18,1,4,265.6
BAGLANTI,YUKSEK,12.26,0,0,1,112.3
DONANIM,YUKSEK,3.49,12,0,1,165.0
DONANIM,YUKSEK,14.18,5,0,1,273.0
BAGLANTI,ORTA,9.88,23,0,0,65.5
GUC_KESINTISI,YUKSEK,16.14,1,0,1,140.9
BAGLANTI,YUKSEK,0.64,10,0,0,57.2
ISINMA,ORTA,41.93,14,0,0,158.4
BELIRSIZ,ORTA,1.11,10,0,0,217.8
DONANIM,ORTA,3.68,20,0,2,197.0
YAZILIM,ORTA,4.65,10,0,2,72.1
YAZILIM,DUSUK,10.36,23,1,0,85.7
BAGLANTI,YUKSEK,1.34,1,0,1,54.7
ISINMA,YUKSEK,2.27,6,1,0,69.4
GUC_KESINTISI,ORTA,19.91,14,0,2,218.6
DONANIM,YUKSEK,3.13,21,0,1,237.2
DONANIM,YUKSEK,16.45,8,1,3,169.6
YAZILIM,DUSUK,7.07,17,0,1,34.4
BAGLANTI,DUSUK,3.63,15,1,0,62.8
GUC_KESINTISI,DUSUK,10.4,18,0,2,125.8
ISINMA,ORTA,35.79,10,0,3,101.2
YAZILIM,DUSUK,5.07,12,0,2,55.3
BAGLANTI,ORTA,27.75,19,1,3,125.0
BELIRSIZ,ORTA,15.47,4,0,1,136.2
DONANIM,ORTA,7.98,18,0,1,193.5
BAGLANTI,DUSUK,2.13,11,0,2,98.8
DONANIM,YUKSEK,36.29,23,0,2,153.9
BELIRSIZ,YUKSEK,2.64,0,0,1,64.5
BELIRSIZ,DUSUK,20.21,4,0,2,178.9
YAZILIM,ORTA,1.27,19,0,3,58.2
GUC_KESINTISI,YUKSEK,19.28,17,0,0,122.1
DONANIM,KRITIK,5.38,2,0,0,164.6
BELIRSIZ,ORTA,3.75,19,0,0,58.8
YAZILIM,DUSUK,5.56,3,0,1,67.3
BELIRSIZ,DUSUK,3.35,3,0,1,169.0
YAZILIM,KRITIK,4.4,22,0,1,39.1
YAZILIM,YUKSEK,12.78,16,0,0,66.9
BELIRSIZ,YUKSEK,5.39,18,1,1,88.6
DONANIM,DUSUK,0.3,16,0,2,257.1
BELIRSIZ,ORTA,7.03,3,0,1,41.1
GUC_KESINTISI,YUKSEK,1.46,6,0,0,93.5
ISINMA,KRITIK,5.53,11,0,0,60.2
GUC_KESINTISI,YUKSEK,12.67,9,1,1,159.7
DONANIM,ORTA,5.2,4,0,0,320.9
GUC_KESINTISI,ORTA,2.5,11,0,0,154.3
BELIRSIZ,ORTA,0.73,4,1,0,168.4
BAGLANTI,YUKSEK,7.71,12,0,3,144.0
ISINMA,ORTA,9.65,14,0,0,119.4
BAGLANTI,YUKSEK,0.77,19,0,0,45.3
BELIRSIZ,ORTA,4.47,10,0,2,171.3
ISINMA,YUKSEK,0.74,23,0,2,110.5
BAGLANTI,YUKSEK,7.8,21,0,1,39.5
DONANIM,YUKSEK,2.07,1,0,3,170.4
YAZILIM,ORTA,1.88,9,0,0,33.1
YAZILIM,ORTA,3.32,6,0,3,72.2
BAGLANTI,YUKSEK,3.07,14,0,1,88.4
GUC_KESINTISI,YUKSEK,18.01,23,0,1,143.5
GUC_KESINTISI,YUKSEK,4.74,2,1,1,137.4
DONANIM,ORTA,6.69,1,0,1,241.7
BELIRSIZ,KRITIK,5.81,11,1,1,111.4
YAZILIM,ORTA,12.75,17,0,2,82.8
YAZILIM,ORTA,3.35,13,0,0,47.6
DONANIM,YUKSEK,3.13,23,0,3,236.1
BAGLANTI,KRITIK,2.2,23,0,0,118.7
ISINMA,YUKSEK,7.74,6,0,0,152.2
ISINMA,YUKSEK,7.12,12,1,2,114.5
GUC_KESINTISI,YUKSEK,13.71,7,0,0,123.7
GUC_KESINTISI,ORTA,4.2,23,0,0,110.3
BELIRSIZ,YUKSEK,30.27,11,0,2,70.8
BAGLANTI,ORTA,5.98,6,0,2,80.5
DONANIM,ORTA,2.38,8,0,0,137.4
DONANIM,ORTA,4.31,11,1,3,173.6
BAGLANTI,KRITIK,15.09,21,0,1,59.6
GUC_KESINTISI,YUKSEK,19.95,16,0,4,89.9
BAGLANTI,YUKSEK,0.78,4,0,1,91.3
BAGLANTI,ORTA,6.0,14,0,0,66.0
BELIRSIZ,DUSUK,3.24,12,0,0,190.2
DONANIM,ORTA,5.09,22,0,2,279.1
BAGLANTI,YUKSEK,6.07,10,0,2,98.8
ISINMA,YUKSEK,7.62,11,0,0,84.4
DONANIM,KRITIK,3.05,21,0,0,160.9
YAZILIM,YUKSEK,20.12,3,0,1,57.4
ISINMA,YUKSEK,2.9,5,1,0,150.7
BAGLANTI,YUKSEK,6.15,7,0,1,83.0
BELIRSIZ,DUSUK,11.05,5,0,0,138.7
BELIRSIZ,ORTA,0.44,2,0,1,138.3
BELIRSIZ,YUKSEK,0.99,18,0,3,106.8
BAGLANTI,KRITIK,4.45,12,0,1,66.1
GUC_KESINTISI,KRITIK,0.91,2,1,0,227.0
BAGLANTI,KRITIK,34.21,14,1,1,94.3
GUC_KESINTISI,KRITIK,7.73,16,0,5,116.2
BAGLANTI,YUKSEK,28.92,15,0,0,20.9
ISINMA,ORTA,3.69,8,0,0,124.6
BAGLANTI,DUSUK,1.82,8,0,1,50.7
BELIRSIZ,YUKSEK,7.75,8,0,3,109.9
BAGLANTI,ORTA,11.08,0,0,0,68.6
DONANIM,ORTA,12.49,5,0,2,174.5
GUC_KESINTISI,ORTA,4.68,7,0,2,118.2
YAZILIM,ORTA,3.53,20,0,1,47.4
BAGLANTI,ORTA,6.6,16,1,1,110.8
ISINMA,ORTA,0.85,22,1,0,83.1
ISINMA,ORTA,8.74,8,1,3,161.8
BAGLANTI,YUKSEK,13.74,19,0,2,92.5
BAGLANTI,YUKSEK,6.07,1,0,0,182.4
YAZILIM,YUKSEK,0.5,1,0,1,47.0
BAGLANTI,ORTA,7.13,23,0,0,142.7
BAGLANTI,YUKSEK,3.75,18,0,1,48.0
ISINMA,ORTA,0.3,1,0,0,124.0
GUC_KESINTISI,KRITIK,7.56,18,0,8,229.4
BAGLANTI,KRITIK,25.83,4,0,0,112.6
GUC_KESINTISI,YUKSEK,6.18,7,0,1,130.0
GUC_KESINTISI,YUKSEK,0.35,0,0,2,96.8
DONANIM,YUKSEK,23.0,23,0,2,204.4
ISINMA,ORTA,21.65,21,0,1,214.5
ISINMA,DUSUK,5.32,10,1,0,203.4
BAGLANTI,DUSUK,13.95,18,1,1,97.7
GUC_KESINTISI,KRITIK,7.48,3,0,0,149.6
GUC_KESINTISI,YUKSEK,12.14,23,0,2,72.5
ISINMA,KRITIK,5.59,13,1,2,97.4
BELIRSIZ,YUKSEK,7.73,16,0,1,64.5
BELIRSIZ,ORTA,12.08,22,1,1,197.0
DONANIM,YUKSEK,8.84,8,1,1,175.8
BAGLANTI,DUSUK,12.61,18,0,2,75.4
YAZILIM,YUKSEK,6.75,23,1,0,65.9
GUC_KESINTISI,KRITIK,5.06,22,0,2,198.8
GUC_KESINTISI,KRITIK,3.43,14,0,0,91.3
GUC_KESINTISI,ORTA,1.84,20,1,1,176.1
BAGLANTI,ORTA,0.56,10,0,4,96.6
ISINMA,DUSUK,11.22,14,0,1,135.3
ISINMA,DUSUK,23.39,3,0,1,238.9
BAGLANTI,ORTA,5.73,7,0,6,167.8
YAZILIM,DUSUK,2.07,23,0,2,52.3
BAGLANTI,ORTA,3.84,23,0,2,104.5
YAZILIM,DUSUK,9.83,4,1,1,144.6
DONANIM,YUKSEK,10.9,10,0,1,124.5
DONANIM,YUKSEK,8.57,7,0,2,256.4
YAZILIM,ORTA,1.56,9,0,0,52.1
DONANIM,YUKSEK,6.94,5,0,0,128.5
ISINMA,YUKSEK,3.6,22,1,1,95.7
ISINMA,ORTA,2.18,9,0,3,109.9
BELIRSIZ,DUSUK,5.25,1,0,1,200.2
BELIRSIZ,ORTA,1.54,6,0,1,111.6
DONANIM,DUSUK,0.89,20,0,1,196.0
YAZILIM,YUKSEK,33.02,18,1,1,54.9
GUC_KESINTISI,ORTA,0.4,19,0,1,132.7
GUC_KESINTISI,ORTA,0.3,3,1,2,141.9
GUC_KESINTISI,ORTA,3.54,7,0,0,75.4
BELIRSIZ,DUSUK,13.6,13,1,0,147.6
BELIRSIZ,DUSUK,20.34,2,0,0,138.3
BELIRSIZ,ORTA,22.17,17,0,0,68.0
ISINMA,YUKSEK,0.3,9,0,1,65.5
BELIRSIZ,YUKSEK,16.61,0,0,7,92.3
BAGLANTI,YUKSEK,12.02,13,0,0,55.0
GUC_KESINTISI,KRITIK,1.37,18,1,4,135.3
BAGLANTI,YUKSEK,0.57,6,0,1,66.8
GUC_KESINTISI,YUKSEK,0.3,6,0,1,79.6
DONANIM,KRITIK,4.67,5,1,2,302.6
