signal_strength,packet_loss,temperature,power_status,historical_fault_count,temperature_trend,signal_delta,packet_loss_ma,fault_type
-61.08,4.06,42.17,NORMAL,4,-2.24,0.46,1.41,YAZILIM
-73.86,12.92,37.96,NORMAL,0,0.29,0.04,12.94,YAZILIM
-99.89,31.79,33.67,UNSTABLE,1,-0.43,-16.86,46.9,GUC_KESINTISI
-100.62,1.19,31.34,NORMAL,0,-0.79,1.74,1.14,NORMAL
-79.99,13.87,61.95,NORMAL,1,2.93,-1.66,14.03,DONANIM
-103.63,44.68,40.52,UNSTABLE,1,0.47,-14.13,14.58,GUC_KESINTISI
-98.51,28.6,38.12,OUTAGE,2,-0.0,-10.67,39.95,GUC_KESINTISI
-77.47,5.22,28.98,NORMAL,0,2.0,11.53,0.95,YAZILIM
-91.87,13.12,63.8,NORMAL,2,-0.17,-5.02,12.74,DONANIM
-103.96,32.75,29.15,UNSTABLE,1,0.76,-13.97,22.41,GUC_KESINTISI
-73.92,7.86,84.43,NORMAL,0,4.75,-1.59,6.0,ISINMA
-101.83,15.89,42.18,OUTAGE,0,0.93,-12.51,56.02,GUC_KESINTISI
-90.78,0.08,84.72,NORMAL,2,5.91,-17.76,0.82,DONANIM
-102.26,28.21,26.77,NORMAL,1,0.19,-11.48,26.69,BAGLANTI
-91.61,1.57,37.34,NORMAL,1,0.76,-0.47,1.26,NORMAL
-95.37,23.3,92.56,NORMAL,1,1.18,-8.71,26.69,DONANIM
-63.22,5.28,32.2,NORMAL,2,4.23,0.56,6.17,YAZILIM
-63.33,11.36,37.01,NORMAL,2,6.3,-2.88,5.87,YAZILIM
-74.45,3.51,37.43,NORMAL,2,-1.32,3.3,6.9,YAZILIM
-101.54,18.22,35.04,NORMAL,0,0.3,-8.43,19.88,BAGLANTI
-95.67,23.48,69.82,UNSTABLE,1,1.81,-3.74,21.31,DONANIM
-105.0,36.62,39.58,NORMAL,0,-0.32,-12.47,38.06,BAGLANTI
-84.7,18.0,82.7,NORMAL,1,1.21,-3.95,21.08,DONANIM
-80.2,7.0,74.16,NORMAL,2,5.8,-3.37,8.63,ISINMA
-92.32,14.67,79.04,NORMAL,1,4.62,-12.28,19.06,DONANIM
-109.05,0.6,71.14,NORMAL,0,1.13,-3.68,4.19,DONANIM
-71.54,3.83,30.59,NORMAL,0,0.61,-1.22,1.8,NORMAL
-78.17,6.41,62.96,NORMAL,0,4.48,0.45,8.46,ISINMA
-110,58.01,42.23,UNSTABLE,1,1.32,-19.57,40.13,GUC_KESINTISI
-73.14,10.54,39.03,NORMAL,3,-0.43,-5.85,15.77,YAZILIM
-95.63,39.01,38.64,UNSTABLE,1,0.97,-13.0,21.87,GUC_KESINTISI
-103.91,20.59,26.75,UNSTABLE,1,-0.37,-9.96,44.48,GUC_KESINTISI
-106.78,58.12,36.53,UNSTABLE,0,1.25,-18.54,17.95,GUC_KESINTISI
-107.12,14.27,45.67,OUTAGE,2,0.76,-16.68,38.11,GUC_KESINTISI
-96.49,30.35,40.15,NORMAL,1,1.04,-14.55,28.31,BAGLANTI
-69.75,0,37.3,NORMAL,0,-0.07,-0.27,0.51,NORMAL
-71.1,3.57,32.5,NORMAL,3,-2.29,-1.29,0,YAZILIM
-79.53,7.84,31.13,NORMAL,1,0.56,-4.49,11.85,YAZILIM
-100.04,1.17,30.06,NORMAL,0,0.8,1.0,0.93,NORMAL
-65.34,12.84,36.85,NORMAL,0,-2.13,-10.53,12.98,YAZILIM
-103.18,48.33,32.49,OUTAGE,1,0.37,-16.64,33.52,GUC_KESINTISI
-95.22,48.15,32.2,OUTAGE,0,-0.62,-17.38,19.75,GUC_KESINTISI
-77.32,15.75,47.13,NORMAL,2,4.24,1.3,7.7,YAZILIM
-101.24,11.72,71.49,NORMAL,1,1.08,-5.51,3.5,DONANIM
-88.45,35.51,33.77,NORMAL,1,0.25,-15.73,37.46,BAGLANTI
-78.82,3.95,72.93,NORMAL,1,5.99,-2.21,3.71,ISINMA
-94.87,0.12,28.39,OUTAGE,2,0.45,-13.76,50.51,GUC_KESINTISI
-90.73,32.61,50.36,NORMAL,1,0.01,-16.56,32.94,BAGLANTI
-102.67,10.23,72.64,UNSTABLE,3,4.07,-4.2,8.57,DONANIM
-75.85,10.71,30.06,NORMAL,2,0.97,-7.62,10.12,YAZILIM
-69.86,1.04,55.9,NORMAL,0,3.03,1.75,1.47,ISINMA
-77.59,0.32,39.02,NORMAL,1,-0.05,0.05,0.53,NORMAL
-105.22,23.84,40.23,UNSTABLE,2,2.38,-17.69,29.41,GUC_KESINTISI
-99.28,19.22,31.88,NORMAL,1,-0.07,-8.67,21.65,BAGLANTI
-103.96,33.17,38.47,NORMAL,2,-0.8,-5.09,29.99,BAGLANTI
-77.12,11.89,38.54,NORMAL,1,0.69,5.08,12.13,YAZILIM
-82.17,1.08,38.05,NORMAL,1,-0.18,-1.06,0.9,NORMAL
-96.55,1.02,28.25,NORMAL,0,0.36,-1.96,0.86,NORMAL
-99.14,31.02,44.08,UNSTABLE,1,1.08,-12.0,19.88,GUC_KESINTISI
-88.12,6.41,32.01,NORMAL,1,1.26,-2.37,6.39,NORMAL
-100.65,2.74,27.96,UNSTABLE,2,0.84,-11.23,13.28,GUC_KESINTISI
-74.32,3.2,85.54,NORMAL,1,3.24,-3.34,4.86,ISINMA
-92.25,0.78,35.09,NORMAL,0,0.37,-1.42,0.26,NORMAL
-80.88,6.02,41.89,NORMAL,0,-1.3,4.74,4.54,YAZILIM
-78.4,5.97,82.22,NORMAL,1,4.84,-4.68,0.2,ISINMA
-85.52,4.49,72.56,NORMAL,2,2.55,-1.54,3.77,ISINMA
-110,14.3,35.4,OUTAGE,0,-0.21,-6.48,20.48,GUC_KESINTISI
-90.95,24.02,37.73,NORMAL,2,0.3,-14.28,26.5,BAGLANTI
-83.67,11.92,82.52,NORMAL,4,1.23,-6.98,11.66,DONANIM
-100.52,43.55,36.37,NORMAL,0,-0.39,-5.55,44.81,BAGLANTI
-78.58,4.28,73.35,NORMAL,1,2.16,-3.36,5.05,ISINMA
-107.46,16.91,38.87,OUTAGE,1,1.37,-9.16,59.98,GUC_KESINTISI
-107.17,23.57,28.08,OUTAGE,0,0.52,-22.82,29.2,GUC_KESINTISI
-86.63,1.87,41.07,NORMAL,0,0.49,0.33,2.83,NORMAL
-85.22,1.77,37.03,NORMAL,1,-0.2,1.05,1.57,NORMAL
-89.59,24.12,72.11,NORMAL,3,2.94,-9.4,26.72,DONANIM
-96.73,38.73,32.43,NORMAL,0,0.84,-8.46,33.74,BAGLANTI
-88.62,0.64,36.49,NORMAL,1,0.02,-0.76,0.47,NORMAL
-93.02,15.79,75.65,NORMAL,1,4.14,-4.98,20.59,DONANIM
-80.2,11.93,64.17,NORMAL,1,3.74,-2.75,10.5,ISINMA
-81.14,12.22,41.06,NORMAL,4,-1.98,0.37,12.74,YAZILIM
-71.18,6.37,44.37,NORMAL,1,3.33,-4.48,5.99,YAZILIM
-98.64,54.92,31.69,NORMAL,1,0.29,-5.7,57.34,BAGLANTI
-84.31,4.57,36.62,NORMAL,3,-1.51,4.17,7.87,YAZILIM
-80.87,0.95,66.08,NORMAL,3,4.15,-2.54,4.04,ISINMA
-87.61,1.27,33.98,NORMAL,0,0.48,-1.15,1.42,NORMAL
-91.64,0.88,36.79,NORMAL,0,0.59,0.01,0.27,NORMAL
-96.38,30.51,43.18,OUTAGE,1,0.66,-10.99,31.77,GUC_KESINTISI
-100.27,10.01,75.38,NORMAL,2,-2.04,-5.76,7.9,DONANIM
-87.67,0.89,35.46,NORMAL,0,0.58,0.98,0.92,NORMAL
-92.59,1.89,34.36,NORMAL,0,-0.19,1.43,1.69,NORMAL
-76.11,0,31.96,NORMAL,0,0.39,0.28,0.14,NORMAL
-83.46,11.15,36.95,NORMAL,2,4.53,6.77,16.56,YAZILIM
-102.5,13.66,34.43,UNSTABLE,2,1.8,-15.79,44.76,GUC_KESINTISI
-97.13,27.97,30.88,NORMAL,1,0.09,-9.44,27.47,BAGLANTI
-72.58,5.07,28.14,NORMAL,3,1.9,-0.63,6.56,YAZILIM
-75.52,4.89,34.12,NORMAL,1,0.4,1.1,3.96,NORMAL
-92.23,38.06,38.9,OUTAGE,0,0.63,-13.73,24.01,GUC_KESINTISI
-90.62,1.73,29.51,NORMAL,0,0.87,-3.01,2.08,NORMAL
-92.37,0.9,35.05,NORMAL,0,-0.54,2.05,1.08,NORMAL
-94.27,17.64,77.8,NORMAL,1,1.87,-10.64,18.13,DONANIM
-66.96,1.05,39.9,NORMAL,0,0.3,1.36,0.83,NORMAL
-68.97,13.86,36.19,NORMAL,0,4.11,4.86,10.31,YAZILIM
-65.9,0.35,36.99,NORMAL,3,0.24,-4.68,6.7,YAZILIM
-81.85,1.9,35.68,NORMAL,1,-0.79,2.18,3.42,NORMAL
-91.51,5.48,77.58,NORMAL,1,5.27,-2.53,7.3,ISINMA
-64.49,1.16,26.77,NORMAL,0,0.03,0.53,1.46,NORMAL
-82.98,4.42,78.4,NORMAL,2,2.67,-5.18,6.31,ISINMA
-67.01,5.88,76.66,NORMAL,1,5.99,-1.26,10.7,ISINMA
-86.41,19.34,87.04,NORMAL,2,4.7,-5.09,18.71,DONANIM
-59.94,5.17,42.21,NORMAL,1,-0.75,-4.07,6.02,YAZILIM
-65.38,11.92,45.8,NORMAL,2,-1.22,-7.35,9.14,YAZILIM
-77.32,1.71,37.02,NORMAL,1,0.71,-0.14,1.28,NORMAL
-74.45,43.08,32.02,OUTAGE,1,0.38,-21.36,8.51,GUC_KESINTISI
-73.32,12.86,34.88,NORMAL,2,-1.88,1.65,14.37,YAZILIM
-92.71,26.92,79.06,UNSTABLE,3,4.42,-5.45,20.32,DONANIM
-98.44,57.23,43.08,OUTAGE,1,1.92,-19.02,20.35,GUC_KESINTISI
-67.8,11.64,42.23,NORMAL,3,2.84,0.24,3.27,YAZILIM
-89.26,48.98,36.73,NORMAL,0,-0.35,-7.32,42.3,BAGLANTI
-100.45,5.89,90.3,NORMAL,1,-0.17,-9.56,5.27,DONANIM
-82.06,8.13,78.0,NORMAL,1,5.33,-3.32,6.48,ISINMA
-51.91,5.81,33.04,NORMAL,1,-0.82,-1.34,0.6,YAZILIM
-76.16,0.53,33.2,NORMAL,0,-0.08,-0.28,0.52,NORMAL
-98.34,11.8,58.69,NORMAL,3,3.67,-11.9,6.13,DONANIM
-99.81,30.81,37.75,NORMAL,0,0.71,-11.36,32.48,BAGLANTI
-99.87,25.54,37.18,OUTAGE,0,1.29,-7.16,22.72,GUC_KESINTISI
-89.93,1.55,25.62,NORMAL,0,0.07,-0.86,1.96,NORMAL
-105.66,27.69,31.53,NORMAL,1,-0.21,-6.52,26.07,BAGLANTI
-80.35,0.05,37.8,NORMAL,2,-0.35,3.76,0.09,YAZILIM
-73.16,10.16,34.49,NORMAL,1,1.07,-3.91,12.28,YAZILIM
-76.29,3.99,81.53,NORMAL,0,4.96,-2.39,6.3,ISINMA
-101.24,0,34.99,UNSTABLE,1,-0.63,-13.96,35.42,GUC_KESINTISI
-91.16,6.48,74.76,NORMAL,1,2.09,-5.82,1.53,ISINMA
-72.93,1.85,84.81,NORMAL,1,4.73,-6.7,2.7,ISINMA
-97.62,22.07,43.22,NORMAL,1,0.02,-14.7,27.01,BAGLANTI
-79.57,4.27,78.9,NORMAL,0,5.96,1.01,8.39,ISINMA
-82.27,13.22,36.11,NORMAL,1,-3.09,13.18,12.55,YAZILIM
-89.15,36.04,36.45,NORMAL,1,-0.07,-14.49,43.85,BAGLANTI
-99.22,49.97,44.07,NORMAL,1,0.7,-12.32,56.42,BAGLANTI
-85.87,14.0,69.44,NORMAL,3,2.5,-7.71,11.45,DONANIM
-92.27,1.45,38.67,NORMAL,1,0.36,0.28,1.65,NORMAL
-88.47,0.99,32.69,NORMAL,0,0.12,-1.53,1.01,NORMAL
-78.09,2.28,79.76,NORMAL,2,4.99,-2.0,8.34,ISINMA
-80.68,6.31,75.17,NORMAL,2,2.83,-0.27,6.02,ISINMA
-91.84,1.26,33.08,NORMAL,1,0.29,1.56,1.53,NORMAL
-94.24,0.68,35.99,NORMAL,0,0.18,0.26,0.5,NORMAL
-99.52,49.14,31.16,NORMAL,2,-0.1,-10.21,49.78,BAGLANTI
-86.67,1.87,30.97,NORMAL,0,1.58,-1.3,1.42,NORMAL
-56.41,14.37,47.23,NORMAL,3,-1.06,4.01,8.73,YAZILIM
-60.11,6.2,43.07,NORMAL,2,-1.58,0.14,2.16,YAZILIM
-98.62,43.85,33.22,NORMAL,1,-0.11,-12.14,39.63,BAGLANTI
-97.48,1.1,34.23,NORMAL,2,-0.31,0.48,0.63,NORMAL
-68.73,1.21,29.29,NORMAL,0,0.27,-0.48,0.84,NORMAL
-95.51,0,30.29,NORMAL,1,-0.55,-0.83,0,NORMAL
-97.08,37.97,36.37,NORMAL,1,0.32,-15.85,35.35,BAGLANTI
-104.92,31.5,37.14,OUTAGE,1,-0.0,-18.23,18.67,GUC_KESINTISI
-68.72,17.15,38.89,NORMAL,1,-0.48,8.42,11.68,YAZILIM
-80.49,10.12,45.69,NORMAL,0,0.96,4.62,9.92,YAZILIM
-104.51,38.11,34.08,UNSTABLE,1,0.7,-25.93,33.8,GUC_KESINTISI
-70.75,1.06,30.17,NORMAL,0,-0.29,1.09,1.18,NORMAL
-85.11,23.47,77.27,NORMAL,2,3.82,-5.92,18.66,DONANIM
-90.37,7.47,35.09,NORMAL,1,0.09,-9.78,9.54,BAGLANTI
-79.46,3.63,78.25,NORMAL,4,3.96,-4.94,10.62,ISINMA
-80.18,1.36,38.0,NORMAL,1,-0.28,1.7,1.13,NORMAL
-79.85,1.86,33.85,NORMAL,3,-1.02,-1.18,5.71,YAZILIM
-99.95,24.51,27.4,NORMAL,1,-1.34,-9.29,25.26,BAGLANTI
-76.19,4.7,81.0,NORMAL,3,5.05,-0.77,9.13,ISINMA
-99.73,44.23,34.66,OUTAGE,0,0.4,-17.18,51.97,GUC_KESINTISI
-98.78,36.21,38.52,NORMAL,1,0.37,-7.57,32.04,BAGLANTI
-102.28,21.28,32.43,OUTAGE,0,0.8,-11.95,33.09,GUC_KESINTISI
-103.47,44.31,40.47,NORMAL,1,0.2,-12.9,44.41,BAGLANTI
-102.86,44.61,28.6,NORMAL,1,0.18,-8.79,40.59,BAGLANTI
-77.47,0,40.35,NORMAL,2,-1.12,1.63,0,YAZILIM
-77.13,0.57,38.64,NORMAL,0,-0.53,0.31,0.61,NORMAL
-67.05,11.32,41.77,NORMAL,0,-1.46,-3.18,23.47,YAZILIM
-95.05,40.22,37.84,NORMAL,1,0.47,-10.9,40.24,BAGLANTI
-78.2,1.6,32.11,NORMAL,2,1.33,-1.97,0,YAZILIM
-95.01,16.0,62.92,NORMAL,2,-0.21,-7.45,12.35,DONANIM
-72.16,2.71,98,NORMAL,0,2.08,-2.77,2.11,ISINMA
-77.83,9.46,77.74,NORMAL,1,2.65,-6.01,8.49,ISINMA
-97.05,27.09,36.13,NORMAL,1,-0.22,-10.04,23.63,BAGLANTI
-107.77,39.96,42.06,OUTAGE,1,0.46,-14.58,18.89,GUC_KESINTISI
-80.59,5.95,80.32,NORMAL,2,4.28,-0.16,3.16,ISINMA
-94.29,15.21,74.37,NORMAL,1,1.87,-10.13,18.33,DONANIM
-89.11,23.0,33.33,UNSTABLE,1,-0.04,-18.53,8.13,GUC_KESINTISI
-72.22,8.54,31.4,NORMAL,3,1.39,-3.95,6.18,YAZILIM
-86.62,7.32,76.17,NORMAL,1,3.67,-2.41,5.52,ISINMA
-77.83,3.48,84.01,NORMAL,2,2.53,-1.16,8.02,ISINMA
-99.47,21.6,31.27,NORMAL,0,0.13,-17.62,23.49,BAGLANTI
-105.34,46.12,34.93,OUTAGE,0,1.87,-4.06,36.6,GUC_KESINTISI
-72.54,4.84,38.58,NORMAL,3,-1.49,1.81,8.35,YAZILIM
-92.23,8.29,39.65,OUTAGE,0,2.98,-14.74,34.0,GUC_KESINTISI
-102.79,26.77,37.7,NORMAL,1,0.72,-11.05,27.74,BAGLANTI
-86.83,8.05,47.43,NORMAL,2,-1.74,-11.09,0.96,YAZILIM
-96.86,35.36,40.45,OUTAGE,2,0.48,-9.46,38.59,GUC_KESINTISI
-51.75,5.68,38.16,NORMAL,3,2.35,-2.55,9.28,YAZILIM
-85.93,8.28,36.36,NORMAL,2,0.95,6.68,14.24,YAZILIM
-103.51,28.33,37.37,NORMAL,1,-0.34,-7.76,26.06,BAGLANTI
-103.38,25.33,32.95,NORMAL,0,-0.5,-9.17,26.21,BAGLANTI
-105.73,48.5,37.14,NORMAL,1,0.66,-9.51,39.45,BAGLANTI
-88.88,29.48,70.67,UNSTABLE,1,0.61,-12.43,30.45,DONANIM
-88.03,27.48,30.64,OUTAGE,3,0.02,-16.25,39.2,GUC_KESINTISI
-78.3,13.75,37.92,NORMAL,2,0.9,-5.79,8.53,YAZILIM
-107.84,18.06,60.33,NORMAL,2,0.44,-13.19,20.14,DONANIM
-86.46,8.36,77.14,NORMAL,0,2.8,-3.87,8.9,ISINMA
-82.28,2.22,81.34,NORMAL,2,4.64,0.11,7.04,ISINMA
-101.47,40.8,42.98,NORMAL,1,0.02,-3.75,43.27,BAGLANTI
-95.74,36.84,36.07,NORMAL,1,0.69,-9.55,41.72,BAGLANTI
-95.92,35.51,36.56,OUTAGE,0,-1.11,-15.82,56.23,GUC_KESINTISI
-95.92,43.63,33.83,NORMAL,2,-0.03,-5.45,48.41,BAGLANTI
-67.41,17.0,34.78,NORMAL,0,3.17,-0.63,18.08,YAZILIM
-89.77,17.06,72.97,UNSTABLE,3,1.58,-2.56,22.41,DONANIM
-109.35,9.55,36.6,NORMAL,2,0.34,-12.08,9.16,BAGLANTI
-87.22,14.64,33.58,NORMAL,3,2.4,-3.52,21.63,YAZILIM
-106.93,24.21,43.71,NORMAL,1,-0.05,-15.37,21.87,BAGLANTI
-76.35,11.65,44.11,NORMAL,2,3.44,-1.39,12.01,YAZILIM
-87.0,30.06,59.89,NORMAL,0,-0.26,-6.11,29.96,DONANIM
-84.99,4.55,71.53,NORMAL,0,4.8,-5.12,11.08,ISINMA
-87.19,29.82,82.06,NORMAL,1,2.34,-2.28,31.97,DONANIM
-110,15.79,28.3,OUTAGE,1,-0.21,-16.01,25.82,GUC_KESINTISI
-105.42,14.35,32.44,OUTAGE,1,-0.77,-14.9,18.24,GUC_KESINTISI
-105.81,39.88,29.51,UNSTABLE,1,-0.14,-14.49,9.0,GUC_KESINTISI
-108.51,32.67,65.41,NORMAL,1,1.86,-4.39,37.27,DONANIM
-107.13,51.46,36.77,NORMAL,1,-0.82,-10.76,48.17,BAGLANTI
-102.79,17.73,62.78,NORMAL,0,0.98,-7.01,13.35,DONANIM
-103.7,31.56,41.28,NORMAL,0,0.15,-12.12,33.11,BAGLANTI
-75.77,1.96,76.45,NORMAL,2,3.23,-1.57,2.39,ISINMA
-91.9,14.38,69.32,UNSTABLE,2,5.0,-11.03,14.52,DONANIM
-101.56,36.69,39.1,UNSTABLE,2,1.75,-11.68,41.49,GUC_KESINTISI
-93.67,32.4,68.26,NORMAL,1,0.27,-5.48,33.07,DONANIM
-107.07,15.66,39.34,UNSTABLE,1,0.88,-11.94,27.19,GUC_KESINTISI
-74.07,0.78,89.47,NORMAL,1,4.0,-4.68,7.36,ISINMA
-86.36,1.09,39.46,NORMAL,1,0.14,4.82,1.04,NORMAL
-71.79,6.49,33.98,NORMAL,3,-1.76,3.01,7.62,YAZILIM
-78.47,5.51,43.73,NORMAL,2,-0.95,1.13,5.05,YAZILIM
-89.59,32.92,37.02,NORMAL,1,-0.14,-6.58,32.13,BAGLANTI
-72.1,19.41,33.03,NORMAL,2,4.29,-0.91,19.77,YAZILIM
-74.89,4.32,73.25,NORMAL,1,4.62,-2.03,4.87,ISINMA
-70.68,2.91,76.31,NORMAL,2,3.16,-2.43,10.89,ISINMA
-72.44,5.25,36.63,NORMAL,0,0.04,2.14,5.68,NORMAL
-72.5,4.96,36.0,NORMAL,1,1.43,-4.08,10.52,YAZILIM
-96.77,27.85,67.47,NORMAL,2,-0.31,-12.06,28.91,DONANIM
-76.57,6.16,75.75,NORMAL,2,5.34,-5.27,9.1,ISINMA
-82.77,8.04,65.34,NORMAL,2,2.17,-1.03,10.86,ISINMA
-85.23,6.36,73.61,NORMAL,1,5.05,-2.41,1.21,ISINMA
-78.89,0.45,40.27,NORMAL,0,-0.38,0.18,0.46,NORMAL
-100.65,55.49,35.45,NORMAL,1,-0.15,-8.93,60.65,BAGLANTI
-91.98,6.79,39.44,UNSTABLE,0,0.59,-18.76,28.94,GUC_KESINTISI
-74.3,3.94,88.17,NORMAL,1,3.82,-3.5,7.72,ISINMA
-96.49,34.63,33.68,OUTAGE,1,1.02,-18.16,38.84,GUC_KESINTISI
-82.02,1.53,33.35,NORMAL,1,-0.45,1.89,1.72,NORMAL
-93.46,31.21,36.57,NORMAL,1,-0.13,-10.67,36.16,BAGLANTI
-87.36,19.53,63.27,UNSTABLE,0,3.51,-8.5,20.16,DONANIM
-69.58,12.18,35.96,NORMAL,1,0.63,3.43,15.32,YAZILIM
-91.11,23.36,67.12,NORMAL,1,3.9,-10.25,26.26,DONANIM
-96.37,30.92,68.0,NORMAL,0,1.52,-2.57,31.03,DONANIM
-90.84,31.37,80.66,NORMAL,2,5.31,1.65,32.02,DONANIM
-102.21,32.1,37.68,NORMAL,1,-0.07,-13.4,40.41,BAGLANTI
-106.26,43.16,40.29,OUTAGE,2,-0.86,-7.94,30.11,GUC_KESINTISI
-83.39,7.63,81.06,NORMAL,3,-0.06,-1.83,6.15,DONANIM
-85.54,6.12,78.88,NORMAL,1,5.1,-1.15,2.43,ISINMA
-76.13,0.36,37.71,NORMAL,4,1.08,-1.57,1.36,YAZILIM
-107.78,42.46,35.31,NORMAL,0,0.3,-17.34,40.69,BAGLANTI
-96.8,23.95,26.01,OUTAGE,0,1.04,-14.37,17.59,GUC_KESINTISI
-65.64,0,38.9,NORMAL,2,0.38,-9.98,0,YAZILIM
-80.74,12.48,80.93,NORMAL,0,3.12,-2.85,8.15,ISINMA
-75.5,3.81,71.29,NORMAL,1,3.01,-1.94,9.2,ISINMA
-100.33,18.71,36.48,NORMAL,0,0.03,-10.77,14.39,BAGLANTI
-80.07,7.77,71.25,NORMAL,1,2.37,-3.45,3.46,ISINMA
-99.22,19.94,72.78,NORMAL,1,0.41,-6.88,21.08,DONANIM
-103.81,25.36,37.46,OUTAGE,1,0.78,-15.18,5.71,GUC_KESINTISI
-100.72,16.27,31.69,UNSTABLE,0,0.95,-12.98,21.29,GUC_KESINTISI
-73.74,9.45,39.36,NORMAL,1,2.36,0.18,12.77,YAZILIM
-80.11,2.97,29.63,NORMAL,1,-0.29,3.33,0,YAZILIM
-88.51,0.48,37.74,NORMAL,0,0.17,-2.85,0.79,NORMAL
-85.5,15.86,36.4,NORMAL,2,-0.75,-1.91,16.75,YAZILIM
-95.22,36.29,32.17,NORMAL,1,0.33,-9.91,39.69,BAGLANTI
-82.3,0,33.61,NORMAL,1,0.22,2.33,1.39,YAZILIM
-68.41,0,41.46,NORMAL,3,-4.08,-6.37,4.32,YAZILIM
-97.82,18.39,45.94,OUTAGE,1,-0.22,-15.36,32.68,GUC_KESINTISI
-74.19,3.51,71.07,NORMAL,1,4.63,-2.76,0,ISINMA
-73.43,2.46,40.69,NORMAL,1,-4.62,7.32,5.0,YAZILIM
-74.48,14.71,34.24,NORMAL,3,1.96,0.03,21.53,YAZILIM
-94.33,28.89,39.59,NORMAL,1,0.07,-18.49,35.55,BAGLANTI
-93.3,20.96,83.48,NORMAL,2,-0.41,-11.98,25.68,DONANIM
-83.68,29.18,72.95,NORMAL,1,2.1,1.63,26.33,DONANIM
-108.0,29.77,36.55,OUTAGE,0,2.03,-16.14,8.92,GUC_KESINTISI
-89.53,12.61,59.55,NORMAL,0,0.82,-5.83,8.72,DONANIM
-95.76,26.5,18.94,UNSTABLE,1,0.59,-18.66,11.69,GUC_KESINTISI
-104.29,3.37,30.44,UNSTABLE,2,0.99,-17.74,22.69,GUC_KESINTISI
-99.29,21.76,45.72,OUTAGE,0,1.89,-17.85,49.76,GUC_KESINTISI
-76.87,2.71,76.93,NORMAL,0,5.89,1.07,9.94,ISINMA
-97.84,22.74,62.09,NORMAL,0,2.28,-7.35,18.85,DONANIM
-92.6,21.64,77.49,NORMAL,0,3.68,-5.33,21.74,DONANIM
-83.31,1.87,31.78,NORMAL,0,-0.72,0.8,2.05,NORMAL
-101.75,25.55,34.03,NORMAL,1,-0.52,-9.02,30.89,BAGLANTI
-98.23,13.81,53.67,UNSTABLE,2,2.09,-7.82,12.21,DONANIM
-77.18,5.7,81.06,NORMAL,0,2.5,-0.65,2.48,ISINMA
-89.73,7.63,69.33,UNSTABLE,3,4.05,-4.9,11.32,DONANIM
-81.24,4.04,74.3,NORMAL,1,2.52,-3.98,7.67,ISINMA
-99.42,25.47,31.04,NORMAL,1,-0.7,-9.11,25.82,BAGLANTI
-82.22,1.26,80.54,NORMAL,2,2.75,-1.1,10.43,ISINMA
-85.2,1.55,73.16,NORMAL,1,2.03,-2.29,4.85,ISINMA
-69.22,0,41.84,NORMAL,3,0.89,-0.52,2.18,YAZILIM
-89.25,7.87,68.05,UNSTABLE,2,-3.01,-8.69,13.75,DONANIM
-102.03,26.81,79.13,UNSTABLE,0,-0.41,-2.98,25.69,DONANIM
-92.06,13.94,53.12,NORMAL,1,6.11,-15.76,14.98,DONANIM
-72.54,9.81,93.82,NORMAL,0,4.5,-4.1,6.55,ISINMA
-96.32,28.7,71.0,NORMAL,2,1.03,-12.75,23.61,DONANIM
-102.62,15.68,59.97,NORMAL,3,3.03,-4.22,16.84,DONANIM
-72.64,1.08,38.71,NORMAL,0,-0.51,-2.12,0.78,NORMAL
-91.46,51.92,41.14,OUTAGE,2,2.45,-15.27,5.67,GUC_KESINTISI
-101.76,11.27,67.06,NORMAL,1,3.55,-10.48,17.78,DONANIM
-71.57,1.75,27.11,NORMAL,0,0.4,-1.95,1.63,NORMAL
-99.21,20.67,38.15,NORMAL,4,1.0,8.91,22.96,YAZILIM
-98.5,16.42,42.4,OUTAGE,1,1.41,-10.86,43.33,GUC_KESINTISI
-87.74,22.85,85.02,NORMAL,1,1.95,-7.73,19.67,DONANIM
-96.37,1.11,30.27,NORMAL,1,0.37,0.42,1.08,NORMAL
-70.86,1.12,37.93,NORMAL,1,0.46,0.46,1.19,NORMAL
-93.86,8.57,34.82,NORMAL,1,2.87,-6.71,13.88,YAZILIM
-110,28.88,32.65,UNSTABLE,1,1.03,-8.74,1.63,GUC_KESINTISI
-88.97,10.69,65.81,NORMAL,1,4.16,-2.0,15.75,DONANIM
-109.62,23.67,41.11,UNSTABLE,1,1.41,-13.9,41.45,GUC_KESINTISI
-89.96,16.23,66.93,NORMAL,3,2.21,-13.62,14.16,DONANIM
-71.77,8.87,36.15,NORMAL,3,-0.38,-0.51,8.83,YAZILIM
-97.98,0.94,37.0,NORMAL,0,-0.72,1.65,0.81,NORMAL
-80.32,8.81,42.92,NORMAL,3,-4.11,-5.48,7.32,YAZILIM
-84.5,23.03,69.91,NORMAL,2,4.64,-16.39,20.42,DONANIM
-94.4,18.48,88.75,NORMAL,2,2.92,-7.66,16.4,DONANIM
-99.86,21.86,40.3,OUTAGE,1,0.22,-15.49,38.07,GUC_KESINTISI
-76.72,1.9,33.45,NORMAL,0,-0.26,-0.0,2.33,NORMAL
-86.75,11.26,47.48,NORMAL,2,-1.2,-0.57,12.33,YAZILIM
-82.13,8.22,76.04,NORMAL,0,2.72,-4.33,12.07,ISINMA
-96.81,26.22,28.44,NORMAL,1,0.13,-13.64,27.87,BAGLANTI
